date,qty
20160101,255
20160104,36
20160112,73
20160123,36
20160127,36
20160128,73
20160205,36
20160216,36
20160223,36
20160228,73
20160305,36
20160316,73
20160320,36
20160401,73
20160404,146
20160406,36
20160425,73
20160426,109
20160427,36
20160510,36
20160512,36
20160518,36
20160523,109
20160601,36
20160606,36
20160609,73
20160615,36
20160616,36
20160617,73
20160618,73
20160622,36
20160629,36
20160705,72
20160711,73
20160719,73
20160721,145
20160722,36
20160724,73
20160725,36
20160726,36
20160727,292
20160728,292
20160729,109
20160730,36
20160731,36
20160805,36
20160809,36
20160810,36
20160811,73
20160812,36
20160813,364
20160814,109
20160816,36
20160817,182
20160818,36
20160819,36
20160820,73
20160821,36
20160824,36
20160826,109
20160827,36
20160829,36
20160830,73
20160831,36
20160901,182
20160903,36
20160905,109
20160906,109
20160907,255
20160908,36
20160909,36
20160917,36
20160919,36
20160921,73
20160923,73
20160929,109
20160930,36
20161005,182
20161006,109
20161007,36
20161009,36
20161011,36
20161013,109
20161014,36
20161015,36
20161019,36
20161025,109
20161027,109
20161102,36
20161103,36
20161104,73
20161111,36
20161112,109
20161117,109
20161119,36
20161121,36
20161129,219
20161201,328
20161203,36
20161204,72
20161207,36
20161213,36
20161215,36
20161216,109
20161226,73
20161230,36
20170103,36
20170106,36
20170110,36
20170111,36
20170116,146
20170118,146
20170123,36
20170126,109
20170201,36
20170207,36
20170213,36
20170214,109
20170216,36
20170219,146
20170222,146
20170224,73
20170227,36
20170301,36
20170302,36
20170304,73
20170306,36
20170310,36
20170312,73
20170320,72
20170325,36
20170326,73
20170407,36
20170411,36
20170412,36
20170414,109
20170415,73
20170417,146
20170418,109
20170419,109
20170420,36
20170421,36
20170422,36
20170424,36
20170425,73
20170426,73
20170427,36
20170428,109
20170430,36
20170501,73
20170502,72
20170504,109
20170505,36
20170509,146
20170510,36
20170511,109
20170513,73
20170515,36
20170516,73
20170517,109
20170519,109
20170520,36
20170521,36
20170522,73
20170523,146
20170525,109
20170526,255
20170528,36
20170529,109
20170530,109
20170531,109
20170601,474
20170602,219
20170603,73
20170604,255
20170605,218
20170607,146
20170609,182
20170610,109
20170612,146
20170613,36
20170614,182
20170615,36
20170616,182
20170617,109
20170618,73
20170619,109
20170620,73
20170621,145
20170622,255
20170623,327
20170624,255
20170626,365
20170627,182
20170629,511
20170630,146
20170701,401
20170702,36
20170703,291
20170704,291
20170705,401
20170706,474
20170707,292
20170708,36
20170710,146
20170711,584
20170712,255
20170713,145
20170714,182
20170715,145
20170717,292
20170718,291
20170719,146
20170720,291
20170721,401
20170722,219
20170723,182
20170724,36
20170725,219
20170726,255
20170727,182
20170728,292
20170729,109
20170731,72
20170801,109
20170802,109
20170803,400
20170804,36
20170805,109
20170806,73
20170807,255
20170808,327
20170809,145
20170810,255
20170811,219
20170812,36
20170813,109
20170814,36
20170815,72
20170816,255
20170817,72
20170818,401
20170819,109
20170820,219
20170821,182
20170822,109
20170823,182
20170824,182
20170825,182
20170826,73
20170827,182
20170828,182
20170829,146
20170830,146
20170831,182
20170901,401
20170902,36
20170903,73
20170904,109
20170905,36
20170906,109
20170907,182
20170908,146
20170909,109
20170911,73
20170912,109
20170913,255
20170915,182
20170916,73
20170918,36
20170919,109
20170920,146
20170921,72
20170922,109
20170925,73
20170928,36
20170929,109
20171002,36
20171003,73
20171006,73
20171007,36
20171008,36
20171010,36
20171011,182
20171012,36
20171013,36
20171016,36
20171017,109
20171018,109
20171019,109
20171020,36
20171024,36
20171025,36
20171026,36
20171027,72
20171028,218
20171031,36
20171101,72
20171103,73
20171104,36
20171106,73
20171107,73
20171108,474
20171109,36
20171110,255
20171111,146
20171113,36
20171117,109
20171118,73
20171119,73
20171121,36
20171122,36
20171123,72
20171124,219
20171125,72
20171127,73
20171130,109
20171201,328
20171203,109
20171204,72
20171206,109
20171207,145
20171208,73
20171211,36
20171212,72
20171213,72
20171214,219
20171215,73
20171216,145
20171217,36
20171218,73
20171219,36
20171220,36
20171222,182
20171224,36
20171225,36
20171226,73
20171227,73
20171228,36
20171230,72
20180103,109
20180104,73
20180105,73
20180108,73
20180109,36
20180110,36
20180112,36
20180113,36
20180114,36
20180115,36
20180117,73
20180118,328
20180119,182
20180121,73
20180122,36
20180124,182
20180125,72
20180126,146
20180128,36
20180129,73
20180130,73
20180131,36
20180201,36
20180202,73
20180203,36
20180204,36
20180205,73
20180206,36
20180207,36
20180208,36
20180209,146
20180214,36
20180218,73
20180219,73
20180220,36
20180221,72
20180222,109
20180223,36
20180226,36
20180301,36
20180302,145
20180303,36
20180305,109
20180306,255
20180307,73
20180308,109
20180312,36
20180313,109
20180314,36
20180315,109
20180316,218
20180318,36
20180319,36
20180322,255
20180323,72
20180326,182
20180328,36
20180330,36
20180402,182
20180404,146
20180405,36
20180406,182
20180411,145
20180412,73
20180413,145
20180415,36
20180416,182
20180417,73
20180418,109
20180419,109
20180420,109
20180421,36
20180423,73
20180424,73
20180425,36
20180426,73
20180427,73
20180430,109
20180502,292
20180503,36
20180504,219
20180507,36
20180509,36
20180510,109
20180511,145
20180513,182
20180514,182
20180517,36
20180518,109
20180521,73
20180523,73
20180524,146
20180525,109
20180527,36
20180528,73
20180529,109
20180530,182
20180531,182
20180601,218
20180602,182
20180603,73
20180604,72
20180605,255
20180606,73
20180607,109
20180608,73
20180609,73
20180610,72
20180611,109
20180612,109
20180613,36
20180614,146
20180615,292
20180618,36
20180619,73
20180620,36
20180621,292
20180622,255
20180623,73
20180624,145
20180625,73
20180626,547
20180627,109
20180628,255
20180629,36
20180630,146
20180701,328
20180702,145
20180703,693
20180704,401
20180705,328
20180706,328
20180707,73
20180708,36
20180709,109
20180711,328
20180712,510
20180713,474
20180714,182
20180715,146
20180716,547
20180717,255
20180718,291
20180719,510
20180720,401
20180721,36
20180722,72
20180723,583
20180724,146
20180725,365
20180726,401
20180727,949
20180728,328
20180729,36
20180730,437
20180731,401
20180801,401
20180802,219
20180803,401
20180804,72
20180805,36
20180806,255
20180807,255
20180808,401
20180809,365
20180810,509
20180811,656
20180812,292
20180813,182
20180814,218
20180815,109
20180816,547
20180817,364
20180818,255
20180820,620
20180821,182
20180822,182
20180823,657
20180824,182
20180825,182
20180827,36
20180828,255
20180829,36
20180830,328
20180831,328
20180902,73
20180903,146
20180904,146
20180905,328
20180906,255
20180907,182
20180908,182
20180909,146
20180910,36
20180911,108
20180912,109
20180913,72
20180914,255
20180915,36
20180917,36
20180919,72
20180920,109
20180922,109
20180925,36
20180927,218
20180928,36
20180929,36
20181001,36
20181002,255
20181006,146
20181008,36
20181010,255
20181012,182
20181015,36
20181016,36
20181017,219
20181018,36
20181020,36
20181022,182
20181023,73
20181024,36
20181025,73
20181026,145
20181028,36
20181029,182
20181030,109
20181031,36
20181102,219
20181106,73
20181107,182
20181108,72
20181109,36
20181110,73
20181112,218
20181113,72
20181115,291
20181117,36
20181119,73
20181120,145
20181121,72
20181123,182
20181126,36
20181127,36
20181128,109
20181129,219
20181130,401
20181201,182
20181202,146
20181203,146
20181205,219
20181209,218
20181210,73
20181212,72
20181213,73
20181214,109
20181215,36
20181216,36
20181218,182
20181219,36
20181220,73
20181221,145
20181222,145
20181223,182
20181224,73
20181226,145
20181228,73
20181231,36
